id,dataset_id,title,decision,h1_avg_rating,year,scores,si_score,si_significance,si_rigor,si_novelty,si_clarity
0168b1d1-dde7-44d5-94ec-0af00266fa86,iclr-codegen,SFS: Smarter Code Space Search improves LLM Inference Scaling,Poster,6.2,2025,"[8.0, 6.0, 6.0, 5.0, 6.0]",6.5,7,6,7,7
016a49b9-a3e4-4521-bbd9-c214bd08b8e2,iclr-codegen,$\textbf{PLUM}$: Improving Code LMs Using On-Policy Preference Learning Powered by Automatic Test Cases,Withdrawn,5.5,2025,"[5.0, 3.0, 8.0, 6.0]",6.2,7,6,5,7
0485dfce-c182-4ffc-88ba-43e75aabd4af,iclr-codegen,A Dual-Modal Framework Utilizing Visual Prompts for Enhanced Patch Analysis,Reject,1.5,2025,"[1.0, 3.0, 1.0, 1.0]",2.5,3,2,3,2
05307df8-93f6-427d-b007-ab5d7c53a87f,iclr-codegen,Improving AI via Novel Computational Models and Programming Challenges,Withdrawn,2.0,2025,"[3.0, 1.0, 1.0, 3.0]",3.5,4,2,5,4
05d125fd-84cf-43eb-b64b-70d8d64e6978,iclr-codegen,CodeBenchGen: Creating Scalable Execution-based Code Generation Benchmarks,Reject,4.0,2025,"[5.0, 5.0, 3.0, 3.0]",6.5,7,6,6,7
09714f54-8e04-4e00-9305-6d9b258bb16f,iclr-codegen,Can Models Help us Create Better Models? Evaluating LLMs as Data Scientists,Reject,4.5,2025,"[3.0, 5.0, 5.0, 5.0]",6.2,6,7,6,7
0fc5cd43-512d-46d4-97df-d39bcbc87ffa,iclr-codegen,Planning Anything with Rigor: General-Purpose Zero-Shot Planning with LLM-based Formalized Programming,Poster,4.75,2025,"[6.0, 1.0, 6.0, 6.0]",7.2,7,7,7,8
0ffcc351-0762-4faf-ab2b-3266b780530f,iclr-codegen,Let the Code LLM Edit Itself When You Edit the Code,Poster,5.5,2025,"[3.0, 6.0, 8.0, 5.0]",6.8,7,7,6,8
106cb241-b579-4f80-9ff7-46a7293fc058,iclr-codegen,Instruct2Act: Mapping Multi-modality Instructions to Robotic Arm Actions with Large Language Model,Reject,5.0,2024,"[6.0, 3.0, 6.0, 5.0]",6.0,6,6,5,7
198d62dc-5065-4d82-a511-45b804cf213a,iclr-codegen,BioCoder: A Benchmark for Bioinformatics Code Generation with Contextual Pragmatic Knowledge,Reject,6.25,2024,"[8.0, 6.0, 6.0, 5.0]",6.5,7,6,6,7
21d9f20e-a9a5-4d87-9d9e-ba4dbed90101,iclr-codegen,Dynamic LLM-Agent Network: An LLM-agent Collaboration Framework with Agent Team Optimization,Reject,5.5,2024,"[5.0, 3.0, 8.0, 6.0, 6.0, 5.0]",6.0,6,5,6,7
25837c15-5dce-42e0-85f8-bfbc4f24dab1,iclr-codegen,VersiCode: Towards Version-controllable Code Generation,Reject,5.2,2025,"[6.0, 5.0, 6.0, 6.0, 3.0]",6.8,8,6,7,7
386185c8-2ac6-4df7-96b2-1065271bee6c,iclr-codegen,CodeChain: Towards Modular Code Generation Through Chain of Self-revisions with Representative Sub-modules,Poster,6.5,2024,"[6.0, 8.0, 6.0, 6.0]",7.4,8,7,7,8
394bf535-f448-4946-9af1-de311b5b4539,iclr-codegen,Does Instruction Tuning Reduce Diversity? A Case Study Using Code Generation,Reject,3.75,2025,"[3.0, 5.0, 6.0, 1.0]",7.2,7,7,8,8
3d50d413-563c-4c34-ba99-35d8b9861a9b,iclr-codegen,ML-Bench: Evaluating Large Language Models for Code Generation in Repository-Level Machine Learning Tasks,Reject,5.75,2025,"[8.0, 6.0, 3.0, 6.0]",6.5,7,7,6,7
4178bb16-2ad2-460d-9fca-7f718143fde3,iclr-codegen,Enhancing Large Language Models in Coding Through Multi-Perspective Self-Consistency,Reject,5.2,2024,"[5.0, 6.0, 5.0, 5.0, 5.0]",6.8,7,6,7,8
428f177e-3e4f-4963-8ceb-ec5f4202895c,iclr-codegen,From Code to Correctness: Closing the Last Mile of Code Generation with Hierarchical Debugging,Reject,5.2,2025,"[5.0, 5.0, 5.0, 5.0, 6.0]",6.8,7,6,7,8
