dataset_id,paper1_id,paper2_id,paper1_title,paper2_title,paper1_decision,paper2_decision,ai_winner_id,human_majority_winner_id,n_ai_judges,n_human_experts,human_has_preference
iclr-codegen,0168b1d1-dde7-44d5-94ec-0af00266fa86,05307df8-93f6-427d-b007-ab5d7c53a87f,SFS: Smarter Code Space Search improves LLM Inference Scaling,Improving AI via Novel Computational Models and Programming Challenges,Poster,Withdrawn,0168b1d1-dde7-44d5-94ec-0af00266fa86,0168b1d1-dde7-44d5-94ec-0af00266fa86,1,4,True
iclr-codegen,0168b1d1-dde7-44d5-94ec-0af00266fa86,09714f54-8e04-4e00-9305-6d9b258bb16f,SFS: Smarter Code Space Search improves LLM Inference Scaling,Can Models Help us Create Better Models? Evaluating LLMs as Data Scientists,Poster,Reject,0168b1d1-dde7-44d5-94ec-0af00266fa86,0168b1d1-dde7-44d5-94ec-0af00266fa86,1,4,True
iclr-codegen,0168b1d1-dde7-44d5-94ec-0af00266fa86,0ffcc351-0762-4faf-ab2b-3266b780530f,SFS: Smarter Code Space Search improves LLM Inference Scaling,Let the Code LLM Edit Itself When You Edit the Code,Poster,Poster,0ffcc351-0762-4faf-ab2b-3266b780530f,tie,1,4,True
iclr-codegen,0168b1d1-dde7-44d5-94ec-0af00266fa86,25837c15-5dce-42e0-85f8-bfbc4f24dab1,SFS: Smarter Code Space Search improves LLM Inference Scaling,VersiCode: Towards Version-controllable Code Generation,Poster,Reject,0168b1d1-dde7-44d5-94ec-0af00266fa86,0168b1d1-dde7-44d5-94ec-0af00266fa86,1,5,True
iclr-codegen,0168b1d1-dde7-44d5-94ec-0af00266fa86,394bf535-f448-4946-9af1-de311b5b4539,SFS: Smarter Code Space Search improves LLM Inference Scaling,Does Instruction Tuning Reduce Diversity? A Case Study Using Code Generation,Poster,Reject,0168b1d1-dde7-44d5-94ec-0af00266fa86,0168b1d1-dde7-44d5-94ec-0af00266fa86,1,4,True
iclr-codegen,0168b1d1-dde7-44d5-94ec-0af00266fa86,428f177e-3e4f-4963-8ceb-ec5f4202895c,SFS: Smarter Code Space Search improves LLM Inference Scaling,From Code to Correctness: Closing the Last Mile of Code Generation with Hierarchical Debugging,Poster,Reject,0168b1d1-dde7-44d5-94ec-0af00266fa86,0168b1d1-dde7-44d5-94ec-0af00266fa86,1,5,True
iclr-codegen,0168b1d1-dde7-44d5-94ec-0af00266fa86,4459372c-84b6-48e3-9889-b952594c1813,SFS: Smarter Code Space Search improves LLM Inference Scaling,ExeDec: Execution Decomposition for Compositional Generalization in Neural Program Synthesis,Poster,Oral,0168b1d1-dde7-44d5-94ec-0af00266fa86,4459372c-84b6-48e3-9889-b952594c1813,1,4,True
iclr-codegen,0168b1d1-dde7-44d5-94ec-0af00266fa86,4cf8c147-0103-4873-b9f8-84d572bc7f97,SFS: Smarter Code Space Search improves LLM Inference Scaling,Coarse-Tuning Models of Code with Reinforcement Learning Feedback,Poster,Reject,0168b1d1-dde7-44d5-94ec-0af00266fa86,0168b1d1-dde7-44d5-94ec-0af00266fa86,1,4,True
iclr-codegen,0168b1d1-dde7-44d5-94ec-0af00266fa86,57970528-67de-43df-8bb3-58938cc7cbd7,SFS: Smarter Code Space Search improves LLM Inference Scaling,Learning Code Preference via Synthetic Evolution,Poster,Reject,57970528-67de-43df-8bb3-58938cc7cbd7,0168b1d1-dde7-44d5-94ec-0af00266fa86,1,4,True
iclr-codegen,0168b1d1-dde7-44d5-94ec-0af00266fa86,6e7fdf86-2a1b-48f3-a377-f6b9ee2ff398,SFS: Smarter Code Space Search improves LLM Inference Scaling,Beyond Correctness: Benchmarking Multi-dimensional Code Generation for Large Language Models,Poster,Withdrawn,0168b1d1-dde7-44d5-94ec-0af00266fa86,0168b1d1-dde7-44d5-94ec-0af00266fa86,1,5,True
